Keyword,Title,Link,Location,Date,Icon
,We Got Next/Cinco De Mayo,Public/Results/Tournament.aspx?IDTournament=h20190425000426529c466f13feca94d,"Irvine, CA • Placentia, CA • Santa Ana, CA • Villa Park, CA","Apr 27 - 28, 2019",
,Florida State Qualifier,Public/Results/Tournament.aspx?IDTournament=h201808070037113251c850eb5b50b41,"riviera beach, FL • Wellington, FL • West palm beach, FL","Apr 6 - 7, 2019",
,Spring Fling,Public/Results/Tournament.aspx?IDTournament=h201901292115309918c4d5e6d618546,"Lebanon, TN • Murfreesboro, TN • Nashville, TN • Smyrna, TN","May 3 - 5, 2019",
,Jr. Crimson Battle Royale,Public/Results/Tournament.aspx?IDTournament=h20190110153834795e4740f5bf01345,"Jacksonville, IL","May 4 - 5, 2019",
,"Hoop Dreams Nation: 3v3 ""Mixed Tape Madness""",Public/Results/Tournament.aspx?IDTournament=h201812311948533499c4f12c66aed40,"Colorado Springs, CO","Mar 31, 2019",
,Boys Stampede Shootout,Public/Results/Tournament.aspx?IDTournament=h20190123010619301afd272f9558640,"Grimes, IA","Feb 9, 2019",
,Spring Tip-Off,Public/Results/Tournament.aspx?IDTournament=h2018101213302727594ec31a23de447,"Fort Worth, TX • Mansfield, TX","Apr 6 - 7, 2019",
,The Main Event,Public/Results/Tournament.aspx?IDTournament=h201902280158369740fe61c1e86e844,"Garden Grove, CA • Westminster, CA","Mar 2 - 3, 2019",
,LA Alliance presents Expo-Marks the Spot,Public/Results/Tournament.aspx?IDTournament=h2018092723252303692470db58ba74c,"Los Angeles, CA","Mar 30 - 31, 2019",
,Lake Havasu Classic,Public/Results/Tournament.aspx?IDTournament=h2019032422121367553bd3f1119dd46,"Lake Havasu City, AZ","Mar 30 - 31, 2019",
,2k19 Springs Men's League,Public/Results/Tournament.aspx?IDTournament=h20190327140154152661feb8527cd44,"Independence, MO","Mar 31 - May 12, 2019",
,The Basketball Alliance presents the Courtney Lee Classic,Public/Results/Tournament.aspx?IDTournament=h20181112003516081f0c14d8e8bab47,"Orlando, FL","Mar 23 - 24, 2019",
,5th Annual For Love of the Game,Public/Results/Tournament.aspx?IDTournament=h20180731190403243f68fd69669b244,"Hiawatha, IA","Feb 9 - 10, 2019",
,Spring Hoops Jam Fest,Public/Results/Tournament.aspx?IDTournament=h201901020022288335902365e8bc14a,"Livingston, NJ • Ridgewood, NJ • Union City, NJ • Wayne, NJ • Whippany, NJ","Apr 27 - 28, 2019",
,Indiana Flight Inv.  (4th Annual),Public/Results/Tournament.aspx?IDTournament=h20180709210313651e1740963e54f4f,"Beech Grove, IN • Fairland, IN • Whiteland, IN","Apr 20, 2019",
,Battle of the Borders 2019,Public/Results/Tournament.aspx?IDTournament=h2019022404241334889c19f85a5f149,"Highland, IN","Mar 2 - 3, 2019",
,March Madness 2019,Public/Results/Tournament.aspx?IDTournament=h20190319032624791455f28ab844949,"Lynchburg, TN • Manchester, TN • Winchester, TN","Mar 22 - 24, 2019",
,KCYBA WINTER FINALE JAMBOREE  (MAR  9),Public/Results/Tournament.aspx?IDTournament=h20181220182400057fd3de5a14b5440,"INDEPENDENCE, MO","Mar 9 - 10, 2019",
,"BIG SHOTS VIRGINIA LIVE (NCAA CERTIFIED | Richmond, VA | 17U-14U Boys)",Public/Results/Tournament.aspx?IDTournament=h20181101202722157a234eba8b1ad48,"Mechanicsville, VA • Milford, VA • Ruther Glen, VA","Apr 27 - 28, 2019",
,love of basketball,Public/Results/Tournament.aspx?IDTournament=h20190118022837159741d25d39a7044,"jefferson city, TN","Feb 2, 2019",
,2019 BATTLE AT THE BRIDGE Pre-Lim Event,Public/Results/Tournament.aspx?IDTournament=h2019010904322052672726e469df449,"Lethbridge, AB","May 3 - 4, 2019",
,YMCA Spirit Basketball Schedule 2018.19,Public/Results/Tournament.aspx?IDTournament=h201810221945340771a6d9ddfb55b49,"Lincoln, NE","Nov 10, 2018 - Mar 3, 2019",
, North Mississippi Middle School Elite 64 ALLSTAR Weekend,Public/Results/Tournament.aspx?IDTournament=h2019013023030211666bbea2590fc46,"Memphis, MS • Memphis, TN","Feb 22 - 24, 2019",
,MAYB Denver - Mar. 2nd (Sat. Only),Public/Results/Tournament.aspx?IDTournament=h2018101016125157238d599dd71b243,,"Mar 2, 2019",
,21st Annual Hoops Classic,Public/Results/Tournament.aspx?IDTournament=h2019010622012989926cce2d9423c42,"Lebanon, TN • Murfreesboro, TN • Smyrna, TN • Watertown, TN","Apr 5 - 7, 2019",
,Battlegrounds Spring Classic,Public/Results/Tournament.aspx?IDTournament=h201811201806070865be0879734a747,"Springfield, IL","Apr 26 - 28, 2019",
,OK Roundball March 16th & 17th,Public/Results/Tournament.aspx?IDTournament=h20181005160141246b4e5a7a3254549,,"Mar 16 - 17, 2019",
,Grassroots Explosion Tourney,Public/Results/Tournament.aspx?IDTournament=h201902281611387440799315b814f49,"MEMPHIS, TN","Mar 30 - 31, 2019",
,5th Annual Spring Break,Public/Results/Tournament.aspx?IDTournament=h20190410195634437bab81a1652e545,"Garden Grove, CA","Apr 13 - 14, 2019",
,2019 Winter Battle,Public/Results/Tournament.aspx?IDTournament=h201808171746327642ef9c2e706d84e,"LINCOLN, NE","Feb 16 - 17, 2019",
,2019 Tamika Catchings Shoot Out,Public/Results/Tournament.aspx?IDTournament=h201804031631431137a5c470febe64d,,"Apr 6 - 7, 2019",
,Spring Jam Basketball Tournamnet,Public/Results/Tournament.aspx?IDTournament=h20190325162950929fa62ad0ff53840,"Bald Knob, AR • Judsonia, AR • Kensett, AR • McRae, AR • Searcy, AR","Mar 30 - 31, 2019",
,Junior Huskies Boys League,Public/Results/Tournament.aspx?IDTournament=h20181023183353901c15a0df6c15647,"Machesney Park, IL","Nov 3, 2018 - Feb 2, 2019",
, BDT March Madness Hoop Fest,Public/Results/Tournament.aspx?IDTournament=h20190311230115379ff175f304c814b,"Baltimore, MD","Mar 16 - 17, 2019",
,Reebok Cape Girardeau VALENTINES DAY CLASSIC,Public/Results/Tournament.aspx?IDTournament=h20181003001954380d50a91ea647646,"Cape Girardeau, MO","Feb 9 - 10, 2019",
,Be the Best,Public/Results/Tournament.aspx?IDTournament=h20190111202019198f0201283887e41,"Ames, IA • Gilbert, IA","Apr 27 - 28, 2019",
,Shootout On The  Wabash,Public/Results/Tournament.aspx?IDTournament=h20190117000901757081e35a6a27b4f,"Vincennes, IN","Feb 23 - 24, 2019",
,CAROLINA JUMPOFF,Public/Results/Tournament.aspx?IDTournament=h20180926145320424c6b76ab036694b,"Laurens, SC","Mar 9 - 10, 2019",
,Rim Wrecker Tune-up @ Morey Courts,Public/Results/Tournament.aspx?IDTournament=h201904021707099546fa20eb9269a4f,"Mount Pleasant, MI","Apr 6, 2019",
,NERR New England Hoop Festival presented by Zero Gravity,Public/Results/Tournament.aspx?IDTournament=h2019040300095423417909bff1aa14a,"Abington, MA • Brockton, MA • East Taunton, MA • Foxboro, MA • Foxborough, MA • Hanover, MA • Pembroke, MA • Stoughton, MA • Sudbury, MA • Taunton, MA • Westwood, MA","Apr 6 - 7, 2019",
,National Super Showcase Battle 4 The Deal,Public/Results/Tournament.aspx?IDTournament=h20190319200655608aa87ec3a50b14b,"Deerfield Beach, FL • Fort Lauderdale, FL • Miami, FL","Mar 22 - 24, 2019",
,Northwest Georgia Basketball League,Public/Results/Tournament.aspx?IDTournament=h20181203133521156e50f3b3b03a34e,"LaFayette, GA • Lyerly, GA • Menlo, GA • Summerville, GA • Trion, GA","Jan 3 - Feb 28, 2019",
,Thoroughbred Regional Classic,Public/Results/Tournament.aspx?IDTournament=h20190326210512031a7002af1228645,"Saratoga Spring, NY • Saratoga Springs, NY • Schenectady, NY • Troy, NY • Watervliet, NY","Mar 30 - 31, 2019",
,MAYB Denver/North Metro - Mar. 9th,Public/Results/Tournament.aspx?IDTournament=h201810101904206285a27653733f34e,"Thornton, CO","Mar 9, 2019",
,HOOPS ON MISSION 3V3 TOURNAMENT,Public/Results/Tournament.aspx?IDTournament=h201903161527528732ce552f92ec64a,"FT. MYERS, FL","Apr 6, 2019",
,Spring Mon D-League Basketball,Public/Results/Tournament.aspx?IDTournament=h2019013122042622396fd6e44462c4b,"Antioch, TN • Nashville, TN","Mar 25 - May 27, 2019",
,St. Joe's Classic 2019,Public/Results/Tournament.aspx?IDTournament=h201904130005197001092dcd629c641,"Castleton, VT • Rutland, VT • West Rutland, VT","Apr 27 - 28, 2019",
,Teammate Basketball pres. The 2nd Annual East TN Tip Off,Public/Results/Tournament.aspx?IDTournament=h20180817194605702619f2232173b46,"Kingsport, TN","Apr 6 - 7, 2019",
,Teammate Basketball pres. The Atlantic Coast Qualifier at The Campus,Public/Results/Tournament.aspx?IDTournament=h20181008163530342fe52464dac5c45,"Sterling, VA","Mar 30 - 31, 2019",
,MAYB Kingman - Feb. 2nd (Sat. Only),Public/Results/Tournament.aspx?IDTournament=h2019012416435929577a75ed8f15c41,"Kingman, KS • Norwich, KS","Feb 2, 2019",
,Trotters AAU Qualifier,Public/Results/Tournament.aspx?IDTournament=h2019040111580461757858a3d8ae14d,"knoxville, TN","Apr 5 - 7, 2019",
,GRBA/515 Hoops Div. II State Championships - 2019,Public/Results/Tournament.aspx?IDTournament=h201808222102126112739c8e4490747,"Des Moines, IA • Grimes, IA","Mar 2 - 3, 2019",
,4th Annual ShowDown In The Grove,Public/Results/Tournament.aspx?IDTournament=h2019022703085559746e6fb22e2064e,"Concord, NC","Apr 20, 2019",
,Teammate Basketball pres. The 2019 Great Eight II,Public/Results/Tournament.aspx?IDTournament=h201808131944133371e8531d46eb948,"Duncan, SC • Greenville, SC • Spartanburg, SC","Mar 23 - 24, 2019",
,Teammate Basketball pres. The North Carolina Super Regional (Nat'l Qualifier),Public/Results/Tournament.aspx?IDTournament=h201810110311126574e529e77a4b847,"Durham, NC","May 3 - 5, 2019",
,Future150 Main Event Houston,Public/Results/Tournament.aspx?IDTournament=h20190410135446302fb321a1e7ce64e,"Houston, TX • Humble, TX","Apr 12 - 14, 2019",
,Hopkinton Rec Basketball 2018-19,Public/Results/Tournament.aspx?IDTournament=h2018110514471671135e9e4413eed48,"Grafton, MA • Hopkinton, MA • Northborough, MA • Westborough, MA","Dec 1, 2018 - Mar 11, 2019",
,Bruin Classic 2019,Public/Results/Tournament.aspx?IDTournament=h201811262046214506e29464c456f43,"Bartlesville, OK","Feb 16 - 17, 2019",
,MAYB Wichita - Feb. 23rd - 24th,Public/Results/Tournament.aspx?IDTournament=h201810101604441976a431ebdaeff42,,"Feb 23 - 24, 2019",
,Winter Classic 2019,Public/Results/Tournament.aspx?IDTournament=h20181001235944342bb4b992bf6d94a,"Granite City, IL","Feb 23 - 24, 2019",
,SWI JETS-REEBOK METRO EAST CLASSIC,Public/Results/Tournament.aspx?IDTournament=h20181003002842385f3263a72f52d4b,"BELLEVILLE, IL","Mar 8 - 10, 2019",
,Run & Gun Shootout,Public/Results/Tournament.aspx?IDTournament=h201901162023529468986475eada147,"Manchester, TN • Nashville, TN • Shelbyville, TN","Mar 15 - Feb 17, 2019",
,Spring Classic,Public/Results/Tournament.aspx?IDTournament=h20190129180234892f2febd41d05544,"Oklahoma City, OK","Apr 27, 2019",
,Coaches vs. Cancer Spring Tip Off,Public/Results/Tournament.aspx?IDTournament=h20190109183827434b79b7c96335e42,"Clifton, NJ • Fairfield, NJ • Florham Park, NJ • Madison, NJ • Parsippany, NJ","Apr 27 - 28, 2019",
,Houston AAS Summer Hoops Tour,Public/Results/Tournament.aspx?IDTournament=h2018121420421594387fd16ceeff247,"Houston, TX","Apr 13 - 14, 2019",
,Zero Gravity Big Apple Supercup,Public/Results/Tournament.aspx?IDTournament=h20190409202424015832f54eab25c41,"Ardsley, NY • Brewster, NY • Bronx, NY • Bronxville, NY • Hartsdale, NY • Nanuet, NY • Tarrytown, NY","Apr 13 - 14, 2019",
,2k19 Winter Men's League,Public/Results/Tournament.aspx?IDTournament=h20190109171224736f7b5b6d474fd4a,"Independence, MO","Jan 13 - Mar 10, 2019",
,11th Annual Spring Showdown,Public/Results/Tournament.aspx?IDTournament=h20181227191945767d1e34065e8434c,"Bloomington, MN • Chanhassen, MN • Chaska, MN","Apr 26 - 28, 2019",
,Mid Atlantic Mayhem Classic,Public/Results/Tournament.aspx?IDTournament=h201903181810307099b61e6a75b2d41,"Bristol, PA • Feasterville-Trevose, PA • King of Prussia, PA • Riverside, NJ","Mar 23 - 24, 2019",
,Triple Threat March Play Day,Public/Results/Tournament.aspx?IDTournament=h20190215184315843b9f1f41c14014a,"Charleston, TN • Cleveland, TN","Mar 1 - 2, 2019",
,Winter Classic 5,Public/Results/Tournament.aspx?IDTournament=h201811292127472905983a97b19c049,"Livingston, NJ • Livingston, NJ, NY","Feb 3, 2019",
,President's Day Classic Presented By 515 Hoops,Public/Results/Tournament.aspx?IDTournament=h20180727153615417bdc26924b97149,"Grimes, IA","Feb 16 - 17, 2019",
,TPH Spring Fling,Public/Results/Tournament.aspx?IDTournament=h201904222001592745f0a4ea27ed645,"Gray, TN • Kingsport, TN","Apr 27 - 28, 2019",
,2019 Swoosh Spring Fling,Public/Results/Tournament.aspx?IDTournament=h2019032618251336868c4a35ea2ee42,"Hanford, CA","Mar 30 - 31, 2019",
,MAC Kickoff Games,Public/Results/Tournament.aspx?IDTournament=h20190403134413738459f98c6827248,"Lemont, IL","Apr 7, 2019",
,11th Annual Lummi Youth Tournament,Public/Results/Tournament.aspx?IDTournament=h201904050158589302f012413b73a49,"Ferndale, WA","May 3 - 5, 2019",
,"West Columbia Spring Tipoff - March 2, 2019 (1 Day Tournament)",Public/Results/Tournament.aspx?IDTournament=h20190102234958980f4ca8897de8c4a,,"Mar 2, 2019",
,BORDERLAND SHOOTOUT TOURNAMENT OF CHAMPIONS,Public/Results/Tournament.aspx?IDTournament=h20190323194649720d99e064ff3b04b,"EL PASO, TX","Apr 12 - 14, 2019",
,13th Annual Castle Rumble,Public/Results/Tournament.aspx?IDTournament=h2018100815373716618d040db5ed342,"Newburgh, IN","Feb 9 - 10, 2019",
,518 Bracket Challenge,Public/Results/Tournament.aspx?IDTournament=h2019041714000484100870a96df0841,"Schenectady, NY • Scotia, NY • Troy, NY","Apr 20, 2019",
,LA Alliance presents Cinco de Mayo Showdown,Public/Results/Tournament.aspx?IDTournament=h2018092723463065695821420b09341,"Chatsworth, CA","May 4 - 5, 2019",
,Spring Tip-Off Classic,Public/Results/Tournament.aspx?IDTournament=h2019031903310696396c71754c6e043,"Clark, NJ • Montclair, NJ","Mar 23, 2019",
,March Tune-up,Public/Results/Tournament.aspx?IDTournament=h20181130164856815e6b97bde751843,"Livingston, NJ • Livingston, NJ, NY","Mar 23, 2019",
,Desert Hoop Classic,Public/Results/Tournament.aspx?IDTournament=h20190108055227305eb86a0d8807149,"Moses Lake, WA","Feb 9 - 10, 2019",
,OK Roundball March Madness 2nd & 3rd,Public/Results/Tournament.aspx?IDTournament=h201810051437075202348313bf4ac4e,"Edmond, OK • Oklahoma City, OK","Mar 2 - 3, 2019",
,2019 Youth Provincials,Public/Results/Tournament.aspx?IDTournament=h20181218193149844d2e6e9cada3d45,"Edmonton, AB","Mar 8 - 9, 2019",
,2019 Aim High Classic,Public/Results/Tournament.aspx?IDTournament=h2019040815022078633786615dfad41,"Dimondale, MI","Apr 13 - 14, 2019",
,"High School Girls D2,D3, NAIA & JUCO Tulsa Showcase",Public/Results/Tournament.aspx?IDTournament=h20181005152936187323a2f4ca0a34e,"Tulsa, OK","Apr 12 - 14, 2019",
,John Paire Memorial Tournament,Public/Results/Tournament.aspx?IDTournament=h201903131354530008b7183674fb947,"Dudley, MA","Mar 16, 2019",
,"The Basketball Alliance presents the Balkman Invitational  (Tampa, FL)",Public/Results/Tournament.aspx?IDTournament=h2018111200301823405b1f89367734f,"Tampa, FL","Apr 27 - 28, 2019",
,Kings and Queens of The DMV (Age/Grade Based Divisions),Public/Results/Tournament.aspx?IDTournament=h201809201518234846029d8e2bd5c4d,"Washington, DC","Apr 20 - 21, 2019",
,Spurs Fiesta Tip Off,Public/Results/Tournament.aspx?IDTournament=h20190301211206828343415adafb248,"San Antonio, TX","Apr 13 - 14, 2019",
,Kyree R. Brown Memorial Classic Tournament,Public/Results/Tournament.aspx?IDTournament=h20190402052413467274243d50b1d48,"Garden Grove, CA • Seal Beach, CA","Apr 6 - 7, 2019",
,Stanwood Presidents Day 2019,Public/Results/Tournament.aspx?IDTournament=h201809091614011989ad368e7413e41,"Arlington, WA • STANWOOD, WA","Feb 16 - 18, 2019",
,MAYB Andover/Wichita - Apr. 13th (Sat. Only),Public/Results/Tournament.aspx?IDTournament=h201904091510303810bef7e697c8649,"Andover, KS","Apr 13, 2019",
,Real Deal In The Rock 2019 Gold Division,Public/Results/Tournament.aspx?IDTournament=h201812241521169024bbaaada9f4048,"Little Rock, AR • Mabelvale, AR","Apr 5 - 7, 2019",
,2019 Titan Basketball Tournament,Public/Results/Tournament.aspx?IDTournament=h2018100320495657978976746662e4f,"Mokena, IL","Jan 11 - Feb 3, 2019",
,Winter Finale at Solid Rock,Public/Results/Tournament.aspx?IDTournament=h20190110160734302a6dac4606aa944,"Edmond, OK","Feb 22 - 23, 2019",
,CANCELED - Yutan Girls Hoopster 2019,Public/Results/Tournament.aspx?IDTournament=h2019021315273122546b381f437c542,"Yutan, NE","Feb 23 - 24, 2019",
,Elevate Your Game--Girls Tournament,Public/Results/Tournament.aspx?IDTournament=h20190409155700496010d33ec1c444a,"Chantilly, VA • Clifton, VA • McLean, VA • Reston, VA • Vienna, VA","Apr 13 - 14, 2019",
,26TH ANNUAL KC KEYS-REEBOK BEST BASKETBALL TOURNAMENT,Public/Results/Tournament.aspx?IDTournament=h201810030022511514d2d253f4e0749,"Kansas City, MO","Feb 15 - 17, 2019",
,2019 Division 4 Tournament,Public/Results/Tournament.aspx?IDTournament=h2019010918373044593d2ddbee3ac45,"Anaheim, CA • Chino Hills, CA • Chino, CA • Garden Grove, CA • Hacienda Heights, Ca • Irvine, Ca • La Mirada, Ca • Orange, CA • San Juan Capistrano, Ca • Whittier, Ca • Yorba Linda, Ca","Feb 23 - 24, 2019",
,WaHOOPS Tourney  (Boys),Public/Results/Tournament.aspx?IDTournament=h201811201614295668c14d63c0c594e,"Wahoo, NE","Feb 22 - 24, 2019",
,Central Mass Madness,Public/Results/Tournament.aspx?IDTournament=h201904091855486701e4ec9b2d8034f,"Dudley, MA • Northborough, MA • Worcester, MA","Apr 13 - 14, 2019",
,RSM NJB,Public/Results/Tournament.aspx?IDTournament=h201811141906078175f5c53f1d8c441,"Ladera Ranch, CA • Rancho Santa Margarita, CA • San Juan Capistrano, CA","Dec 2, 2018 - Feb 10, 2019",
,Jammin 4 Jerseys (7th Annual),Public/Results/Tournament.aspx?IDTournament=h20190102212039953f160961428fb46,"Benton, AR • Bryant, AR • Little Rock, AR","Mar 29 - 31, 2019",
,Columbia Ravens Winter Classic,Public/Results/Tournament.aspx?IDTournament=h20190314110438585a62faec96d2149,"Columbia, MD • Ellicott City, MD","Mar 16 - 17, 2019",
,2019 Chad Cooke Memorial Cavalier Classic,Public/Results/Tournament.aspx?IDTournament=h20190308211914248b356cb91471c46,"Charleston, SC • Hanahan, SC • North Charleston, SC • Summerville, SC","Apr 19 - 20, 2019",
,TN Premier April Flowers ,Public/Results/Tournament.aspx?IDTournament=h2019040417300904503390495c5f24f,"Blountville, TN • Gray, TN • Kingsport, TN","Apr 13 - 14, 2019",
,SWISH Spring Shootout,Public/Results/Tournament.aspx?IDTournament=h20181230201339320f46a8a42ed7942,"Bloomington, IL","Mar 9 - 10, 2019",
,Ok Roundball 11th Annual For The Love Of The Game,Public/Results/Tournament.aspx?IDTournament=h20181004214238694912cc24136d748,"Edmond, OK • Oklahoma City, OK","Feb 16 - 17, 2019",
,2019 St Barnabas Post-Season Basketball Tournament,Public/Results/Tournament.aspx?IDTournament=h2018102618493495885984187718c41,"Northfield, OH","Feb 10 - Mar 3, 2019",
,THE SOUTH CAROLINA  INVITATIONAL 2019,Public/Results/Tournament.aspx?IDTournament=h201812130658491344063f66b0b0f41,"Rock Hill, SC","Mar 9 - 10, 2019",
,Synergy Shootout,Public/Results/Tournament.aspx?IDTournament=h20190210063753897484377923b5d4b,"Kittitas, WA","Feb 16 - 18, 2019",
,King/Queen of the South,Public/Results/Tournament.aspx?IDTournament=h201903201541219465394b6d5d4bb41,"Henrico, VA • Richmond, VA","Mar 23 - 24, 2019",
,  VA Hokies Premier 3rd Annual Winter League and Bump n Runs,Public/Results/Tournament.aspx?IDTournament=h201807201644341845c0ea871984d4a,"Bristow, VA • Manassas, VA","Jan 5 - Feb 16, 2019",
,DMG SPRING FLING VI,Public/Results/Tournament.aspx?IDTournament=h20180703005940905cb582e08f4e049,"Memphis, TN","Apr 11 - 14, 2019",
,Neighborhood Sports - Winter 2019 Jr NBA/WNBA Playoffs,Public/Results/Tournament.aspx?IDTournament=h201903011712350752f4ae8d2720649,"Flower Mound, TX • Lewisville, TX","Mar 2 - 3, 2019",
,San Diego All Star Tournament,Public/Results/Tournament.aspx?IDTournament=h2019011420060146671cad9a5bc1c41,"Anaheim, CA • Chino Hills, CA • Chino, CA • Hacienda Heights, Ca • Irvine, Ca • La Mirada, Ca • Orange, CA • San Juan Capistrano, Ca • Whittier, Ca • Yorba Linda, Ca","Feb 17, 2019 - Feb 17, 2020",
,MAYB Denver/North Metro - Apr. 19-20,Public/Results/Tournament.aspx?IDTournament=h20190409195318063368276088af042,"Broomfield, CO • Westminster, CO","Apr 19 - 20, 2019",
,Pee Wee State Basketball Tournament,Public/Results/Tournament.aspx?IDTournament=h20190129144812966007e2f0ec7b645,"Kensett, AR • Searcy, AR","Feb 2 - 3, 2019",
,Hoops on the Hardwood,Public/Results/Tournament.aspx?IDTournament=h20190311161143061025d1d5f7f6241,"Liberty, MO","May 3 - 5, 2019",
,The 4th Annual Capitol City Classic,Public/Results/Tournament.aspx?IDTournament=h2018100216133233830ec12abdd6043,"Springfield, IL","Mar 1 - 3, 2019",
,SCB Presidents' Day Classic 2019,Public/Results/Tournament.aspx?IDTournament=h201808281942128605f61332b0d8542,"Columbus, NE","Feb 16 - 17, 2019",
,S. Parker Bernard Memorial Tournament-(8th Annual),Public/Results/Tournament.aspx?IDTournament=h20180918145752711c360e8071f0c45,"Beavercreek, OH • Bellbrook, OH","Mar 15 - 17, 2019",
,Raider Spring Invitational,Public/Results/Tournament.aspx?IDTournament=h201901021431234106290ff70732343,"Harriman, TN • Kingston, TN • Oakdale, Tn","Mar 22 - 24, 2019",
,Midwest Madness,Public/Results/Tournament.aspx?IDTournament=h20190111195138512b743bdd994094a,"Council Bluffs, IA • Omaha, NE","Apr 6 - 7, 2019",
,PrimeTime Showcase,Public/Results/Tournament.aspx?IDTournament=h2019021905355438329284c90636945,"Antioch, TN • La Vergne, TN • Murfreesboro,, TN • Smyrna, TN","May 3 - 5, 2019",
,WHO'S THE REAL PLAYMAKER,Public/Results/Tournament.aspx?IDTournament=h2019010419215306674d957d012924b,"KENNESAW, GA • MARIETTA, GA","Mar 22 - 24, 2019",
,Girls Winter League Games 2018-19,Public/Results/Tournament.aspx?IDTournament=h2018091107320625316fce30a32c749,"Atherton, CA • Los Altos, CA • Palo Alto, CA • Redwood City, CA","Dec 2, 2018 - Feb 17, 2019",
,2019 USBA St. Patty's Bash,Public/Results/Tournament.aspx?IDTournament=h20190314011324347c2f4d412b7b341,"Knoxville, TN","Mar 15 - 17, 2019",
,Boomtown All-Star Weekend,Public/Results/Tournament.aspx?IDTournament=h20190227170914068095e2d23d1ea4d,"Borger, TX","Mar 29 - 30, 2019",
,President's Day Weekend One Day Shootout,Public/Results/Tournament.aspx?IDTournament=h2018112921330688290a668210ed743,"Livingston, NJ • whippany, NJ, NJ","Feb 16, 2019",
,ETYS War on the Floor,Public/Results/Tournament.aspx?IDTournament=h20181012155306095030bd3b7d18841,"Kingsport, TN","Mar 16 - 17, 2019",
,2019 Warmup Games,Public/Results/Tournament.aspx?IDTournament=h20190109191854482f2cb78028b944a,"Anaheim, CA • Chino Hills, CA • Chino, CA • Hacienda Heights, Ca • Huntington Beach, CA • Irvine, Ca • La Mirada, Ca • Norwalk, CA • Orange, CA • Placentia, CA • San Juan Capistrano, Ca • Tustin, CA • Whittier, Ca • Yorba Linda, Ca","Feb 24 - Mar 7, 2019",
,Long Island Classic,Public/Results/Tournament.aspx?IDTournament=h2019040219273030884046b2f61ec4b,"Garden City, NY • Greenvale, NY • Huntington Station, NY • Oyster Bay, NY • West Hempstead,, NY • Westbury, NY","Apr 5 - 7, 2019",
,March ShowDown 2,Public/Results/Tournament.aspx?IDTournament=h20181130164601274b1e83422e3ee45,"Mahwah, NJ","Mar 17, 2019",
,CT Jamboree,Public/Results/Tournament.aspx?IDTournament=h20190402191548684957b13f5fa0c4b,"New Milford, CT • Newtown, CT • Trumbull, CT","Apr 6 - 7, 2019",
,Carolina Collision,Public/Results/Tournament.aspx?IDTournament=h2019021821452071794b17a50d7a244,"Columbia, SC","Apr 5 - 7, 2019",
,The Basketball Alliance presents the Weston Wolfpack Spring Jam ,Public/Results/Tournament.aspx?IDTournament=h20180821011656316950da4db586744,"Deerfield Beach, FL","May 4 - 5, 2019",
,2019 North AL Showdown,Public/Results/Tournament.aspx?IDTournament=h201901292155099809423b67c5f814f,"Athens, AL • Huntsville, AL","May 10 - 11, 2019",
,Girls Gulfcoast Classic,Public/Results/Tournament.aspx?IDTournament=h201904031738171866965f59d9c6d4a,"Port Charlotte, FL","May 3 - 5, 2019",
,2019 EASTER BUNNY BASKET,Public/Results/Tournament.aspx?IDTournament=h20190416211254261a38792bb875a4e,"AUBURN, WA • BONNEY LAKE, WA • MERCER ISLAND, WA • NEWCASTLE, WA • PRESTON, WA • SUMNER, WA","Apr 20, 2019",
,JR. Wizards Hoop Fest,Public/Results/Tournament.aspx?IDTournament=h2019032516565126601f92329b6f340,"District Heights, MD","Mar 30 - 31, 2019",
,ETSU Slam Dunk Showdown,Public/Results/Tournament.aspx?IDTournament=h20190116232117018811794ad699c4a,"johnson city, TN","Mar 16 - 17, 2019",
,TN Premier East Coast Championship,Public/Results/Tournament.aspx?IDTournament=h2018092600241013235e0e54e01324f,"Kingsport, TN","Feb 23 - 24, 2019",
,Saratoga Sparks 2019 Warm-up Tournament,Public/Results/Tournament.aspx?IDTournament=h201903211036088773242f45a34b444,"Schenectady, NY","Mar 30 - 31, 2019",
,AVAC Final 4 Madness,Public/Results/Tournament.aspx?IDTournament=h20190328203435436ee6780629ed34c,"Rancho Cucamonga, CA","Mar 30 - 31, 2019",
,3rd-6th 3A/4A Boys State ,Public/Results/Tournament.aspx?IDTournament=h201808211821322406683861cc7af49,"Ames, IA • Gilbert, IA • Nevada, IA","Feb 23 - 24, 2019",
,5th Annual Midwest Explosion,Public/Results/Tournament.aspx?IDTournament=h20181115153215565cb1c958387984f,"Cincinnati, OH • Erlanger, KY • Florence, KY • Wilder, KY","May 10 - 12, 2019",
,GOODING MARCH 8TH & 9TH 7th and 8th Boys,Public/Results/Tournament.aspx?IDTournament=h20181102043809721025cc93fe50345,"GOODING, ID","Mar 9 - 10, 2019",
,Midwest Tournament of Champions,Public/Results/Tournament.aspx?IDTournament=h2019021416371307336fd3742ddca48,"Ballwin, MO • Chesterfield, MO • St. Louis, MO","Apr 19 - 20, 2019",
,Tri-County North 2018-19 Basketball Season,Public/Results/Tournament.aspx?IDTournament=h20181113145213844b663c4e6871f49,"Cushing, OK • MASON, OK • MEEKER, OK • OKEMAH, OK • PADEN, OK • PRAGUE, OK • STROUD, OK","Dec 1, 2018 - Feb 23, 2019",
